scenario,run_id,run_folder,mean_epoch_training_time_seconds,total_training_time_seconds,mean_training_throughput_samples_sec,mean_data_loading_latency_sec_batch,mean_compute_time_sec_batch,total_validation_time_seconds,mean_validation_time_seconds,mean_validation_throughput_samples_sec,final_val_accuracy,final_val_loss,best_val_accuracy,total_cloud_read_time_seconds,total_s3_mb_downloaded_during_epochs,mean_cloud_read_time_sec_batch,cache_warmup_time_seconds,cache_warmup_s3_bytes_downloaded,cache_warmup_s3_megabytes_downloaded,cache_warmup_files_downloaded,cache_warmup_files_already_cached,train_cache_hit_ratio,val_cache_hit_ratio,cache_hits,cache_misses,mean_cache_read_time_sec_batch,validation_mean_cache_read_time_sec_batch,total_s3_mb_downloaded_including_warmup,end_to_end_time_seconds,invalid_gpu_utilization_rows,mean_gpu_utilization_full_log_percent,median_gpu_utilization_full_log_percent,gpu_idle_ratio_full_log_percent,gpu_full_log_sample_count,gpu_full_log_duration_seconds,mean_gpu_utilization_percent,median_gpu_utilization_percent,gpu_idle_ratio_percent,gpu_comparison_window_method,gpu_phase_detection_status,gpu_activity_threshold_percent,gpu_training_phase_start,gpu_training_phase_end,mean_gpu_utilization_training_phase_percent,median_gpu_utilization_training_phase_percent,gpu_idle_ratio_training_phase_percent,gpu_training_phase_sample_count,gpu_training_phase_duration_seconds,mean_gpu_memory_used_mib,max_gpu_memory_used_mib,invalid_gpu_memory_rows,mean_docker_cpu_percent,max_docker_cpu_percent,invalid_docker_cpu_rows,mean_docker_memory_percent,max_docker_memory_percent,invalid_docker_memory_rows,mean_host_cpu_used_percent,max_host_cpu_used_percent,invalid_host_cpu_rows,mean_host_memory_used_mb,max_host_memory_used_mb,invalid_host_memory_rows,estimated_cache_warmup_end,mean_gpu_utilization_post_warmup_percent,median_gpu_utilization_post_warmup_percent,gpu_idle_ratio_post_warmup_percent,gpu_post_warmup_sample_count,gpu_post_warmup_duration_seconds
A,21,run_21_A,67.12923329789191,134.25846659578383,1489.6652190529926,0.02796424914638525,0.0577768718423631,4.230874496046454,2.115437248023227,4736.210803828803,0.6597,2.113938564682007,0.6597,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.48934109183028,0,58.87662337662338,60.5,10.38961038961039,154,153.399,58.87662337662338,60.5,10.38961038961039,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:41:01.532000,2026-06-02T00:43:18.917000,65.70289855072464,65.0,0.0,138,137.385,4716.636363636364,4938.0,0,438.43590163934425,495.03,0,4.508688524590164,5.41,0,14.424242424242424,18.0,0,3737.2727272727275,4376.0,0,,,,,,
A,22,run_22_A,68.64574503200129,137.29149006400257,1456.7671649105487,0.02984871007704535,0.0578210852487022,4.411738716065884,2.205869358032942,4533.404444957148,0.6575,2.100427445602417,0.6575,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,141.70322878006846,0,59.10828025477707,60.0,10.191082802547772,157,156.32,59.10828025477707,60.0,10.191082802547772,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:43:28.952000,2026-06-02T00:45:57.267000,62.281879194630875,62.0,5.369127516778524,149,148.315,4720.866242038216,4938.0,0,431.0422580645161,488.97,0,4.299838709677419,5.07,0,14.492537313432836,18.0,0,3719.0746268656717,4493.0,0,,,,,,
A,23,run_23_A,66.77871102606878,133.55742205213755,1497.494549600249,0.02746894263901775,0.05781511460845365,4.371350105851889,2.1856750529259443,4575.3390554186935,0.6596,2.096666736602783,0.6596,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.92877215798944,0,63.22727272727273,64.0,11.03896103896104,154,153.351,63.22727272727273,64.0,11.03896103896104,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:46:13.311000,2026-06-02T00:48:30.647000,70.55072463768116,67.5,0.7246376811594203,138,137.336,4716.636363636364,4938.0,0,442.9243333333333,544.13,0,4.519333333333334,5.29,0,14.51908396946565,18.0,0,3743.7862595419847,4186.0,0,,,,,,
A,24,run_24_A,67.34292500466108,134.68585000932217,1484.937646140468,0.028253524878319503,0.057755229306881206,4.365013968665153,2.1825069843325764,4582.134672248858,0.6519,2.1268890419006348,0.6519,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,139.05086397798732,0,59.20645161290322,61.0,11.612903225806452,155,154.301,59.20645161290322,61.0,11.612903225806452,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:48:47.730000,2026-06-02T00:51:05.984000,66.0,64.0,1.4388489208633095,139,138.254,4718.064516129032,4938.0,0,435.99885245901635,491.16,0,4.504918032786884,5.23,0,14.515151515151516,18.0,0,3683.719696969697,4370.0,0,,,,,,
A,25,run_25_A,67.4658740980085,134.931748196017,1482.23567843903,0.0283923493364773,0.0577743548514021,4.3609056724235415,2.1804528362117708,4586.465258950077,0.6544,2.104123274230957,0.6544,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,139.29265386844054,0,60.51923076923077,60.5,11.538461538461538,156,155.319,60.51923076923077,60.5,11.538461538461538,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T00:51:23.024000,2026-06-02T00:53:41.330000,67.9136690647482,65.0,0.7194244604316548,139,138.306,4719.474358974359,4938.0,0,440.284262295082,532.7,0,4.536393442622951,5.27,0,14.443609022556391,18.0,0,3735.1654135338345,4364.0,0,,,,,,
A,26,run_26_A,67.13670453452505,134.2734090690501,1489.6458281552818,0.0280040639185863,0.057736293064392194,4.274696429260075,2.1373482146300375,4679.633128228774,0.6598,2.097972289657593,0.6598,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.54810549831018,0,60.993506493506494,61.0,11.688311688311687,154,153.401,60.993506493506494,61.0,11.688311688311687,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T01:00:27.238000,2026-06-02T01:02:43.628000,68.42335766423358,67.0,0.7299270072992701,137,136.39,4716.636363636364,4938.0,0,427.077868852459,488.99,0,4.404098360655738,5.17,0,14.590909090909092,25.0,0,3680.6363636363635,4287.0,0,,,,,,
A,27,run_27_A,66.39271133765578,132.78542267531157,1506.191409443356,0.02704656007282835,0.05774762429257665,4.306762394029647,2.1533811970148236,4643.89204234049,0.6611,2.103167795562744,0.6611,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.0921850693412,0,62.62091503267974,67.0,11.76470588235294,153,152.224,62.62091503267974,67.0,11.76470588235294,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T01:03:01.670000,2026-06-02T01:05:16.884000,70.38970588235294,69.0,0.7352941176470588,136,135.214,4715.18954248366,4938.0,0,440.2645000000001,492.35,0,4.543833333333334,5.4,0,14.679389312977099,28.0,0,3735.641221374046,4220.0,0,,,,,,
A,28,run_28_A,66.8350793691352,133.6701587382704,1496.2216976711736,0.02759516142907755,0.0577645064700785,4.193870987277478,2.096935493638739,4771.249352389481,0.6531,2.11100058670044,0.6531,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.86402972554788,0,59.357142857142854,61.5,10.38961038961039,154,153.496,59.357142857142854,61.5,10.38961038961039,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T01:05:26.921000,2026-06-02T01:08:00.417000,59.357142857142854,61.5,10.38961038961039,154,153.496,4684.584415584415,4938.0,0,442.6311666666666,540.36,0,4.528333333333333,5.31,0,14.679389312977099,18.0,0,3711.1068702290077,4309.0,0,,,,,,
A,29,run_29_A,66.93433946580626,133.86867893161252,1494.003704245869,0.02761920969730805,0.05785400029527895,4.343384757172316,2.171692378586158,4605.765071581942,0.6554,2.117064345550537,0.6554,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,138.21206368878484,0,60.34193548387097,62.0,10.967741935483872,155,154.353,60.34193548387097,62.0,10.967741935483872,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T01:08:08.450000,2026-06-02T01:10:25.793000,67.77536231884058,67.0,0.0,138,137.343,4686.2193548387095,4938.0,0,437.9168852459016,532.75,0,4.508032786885245,5.29,0,14.280303030303031,18.0,0,3734.159090909091,4300.0,0,,,,,,
A,30,run_30_A,66.69067690265365,133.3813538053073,1499.4620090028607,0.027378083368980052,0.0577983271534247,4.3169498979114,2.1584749489557,4633.440904568599,0.663,2.081972410583496,0.663,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,137.6983037032187,0,60.928104575163395,62.0,11.11111111111111,153,152.336,60.928104575163395,62.0,11.11111111111111,first_to_last_active_sample,first_to_last_active_sample,20.0,2026-06-02T01:10:43.834000,2026-06-02T01:13:00.159000,68.02189781021897,65.0,0.7299270072992701,137,136.325,4715.18954248366,4938.0,0,443.0028333333333,543.4,0,4.557333333333333,5.45,0,14.648854961832061,18.0,0,3668.961832061069,4259.0,0,,,,,,
